umidade,temperatura,ph,nitrogenio,fosforo,potassio,chuva,volume_irrigacao_L,status_irrigacao,umidade_futura,rendimento_t_ha
64.76,18.5,5.83,25.62,45.51,50.6,26.77,43.47,DESLIGADA,71.26,7.48
36.29,30.04,6.68,60.12,43.57,35.17,13.48,139.1,LIGADA,41.28,8.0
73.12,21.19,6.27,29.45,16.84,55.81,3.07,189.96,DESLIGADA,79.3,7.44
76.5,32.59,6.61,78.12,25.82,43.12,24.88,309.26,DESLIGADA,92.91,8.0
60.41,32.09,5.14,25.95,20.92,14.79,6.98,50.5,DESLIGADA,58.61,4.26
31.39,25.11,7.01,59.13,42.6,14.28,19.05,267.07,LIGADA,45.44,7.41
31.44,25.59,7.97,54.8,35.63,51.08,25.29,388.0,LIGADA,53.31,7.92
48.08,19.32,7.74,49.7,44.49,22.76,14.98,442.34,DESLIGADA,70.83,6.28
30.0,20.79,7.23,47.73,46.09,35.71,17.51,181.0,LIGADA,40.14,7.0
23.3,20.19,6.88,65.45,28.22,13.81,11.45,498.06,DESLIGADA,47.6,6.87
87.98,35.22,5.03,60.45,42.49,42.22,8.0,320.48,LIGADA,99.36,8.0
20.23,32.44,7.16,78.03,46.91,40.46,3.19,312.65,LIGADA,30.33,8.0
30.7,33.25,6.62,64.5,34.17,10.03,9.72,9.74,DESLIGADA,27.45,7.81
41.53,19.16,7.63,76.29,9.71,39.16,2.08,380.3,LIGADA,57.34,7.12
28.99,27.51,6.65,28.55,52.98,35.39,6.35,269.65,LIGADA,38.88,6.5
67.02,25.47,7.7,41.6,18.63,13.84,0.63,276.96,LIGADA,75.96,5.54
20.5,32.16,5.18,14.72,6.73,29.83,15.42,139.24,DESLIGADA,25.66,3.91
85.49,29.42,6.42,64.92,49.41,21.42,2.91,215.53,DESLIGADA,91.26,8.0
48.78,35.28,5.16,55.74,40.54,13.64,21.85,400.3,LIGADA,68.29,6.99
51.4,26.44,5.84,27.49,55.78,36.59,25.84,275.16,LIGADA,67.62,7.3
65.65,28.81,5.04,16.53,46.45,24.18,12.19,240.68,DESLIGADA,75.58,6.07
20.15,25.81,7.78,64.96,20.69,51.8,21.92,391.68,DESLIGADA,41.15,7.27
30.84,23.93,7.91,50.54,34.82,54.88,1.71,292.09,LIGADA,41.17,7.97
79.59,19.37,5.2,70.33,27.21,66.5,17.09,289.46,LIGADA,95.32,8.0
63.36,26.38,6.75,46.59,56.41,22.26,21.49,119.34,DESLIGADA,70.5,8.0
52.01,36.58,7.81,10.65,39.16,43.78,3.0,268.82,DESLIGADA,59.03,6.2
29.27,24.98,5.21,27.1,20.67,36.29,16.3,151.26,LIGADA,36.73,4.95
85.22,20.07,7.63,28.51,53.93,54.55,4.66,140.88,LIGADA,89.65,7.49
70.23,22.07,6.9,28.48,31.87,64.32,25.38,46.15,DESLIGADA,75.74,7.67
43.35,20.62,7.94,21.31,29.3,52.34,16.83,55.94,LIGADA,47.07,5.82
58.19,34.69,6.75,20.37,12.01,28.5,26.97,398.06,LIGADA,79.25,5.6
37.47,20.06,7.34,71.89,27.35,47.24,4.64,464.94,LIGADA,58.1,8.0
88.33,34.22,7.64,11.74,45.51,29.93,27.92,401.12,LIGADA,100.0,6.18
27.57,35.44,7.58,25.57,49.91,37.62,9.16,397.67,LIGADA,43.11,7.01
35.6,31.2,6.2,29.5,8.82,56.4,10.53,254.7,DESLIGADA,45.25,6.28
87.93,21.57,7.89,28.58,10.96,36.07,21.86,156.84,LIGADA,98.02,6.09
46.96,29.53,5.76,59.61,5.09,65.53,16.15,359.71,LIGADA,63.88,7.69
66.5,24.6,5.94,69.36,44.59,28.02,9.28,204.2,DESLIGADA,74.57,8.0
68.8,29.09,5.58,56.55,25.85,54.89,5.22,284.55,DESLIGADA,78.78,8.0
40.08,26.6,6.74,55.83,30.57,36.53,6.41,236.59,LIGADA,48.51,7.53
66.12,23.68,6.99,53.35,10.14,67.12,7.05,155.21,LIGADA,71.26,8.0
88.88,30.23,7.31,41.88,53.74,44.54,21.55,191.99,DESLIGADA,98.9,8.0
37.08,31.12,5.02,62.57,47.35,16.4,12.75,87.94,DESLIGADA,39.08,7.7
79.38,27.13,7.4,56.73,59.33,45.73,28.5,445.71,DESLIGADA,100.0,8.0
78.14,28.96,7.69,62.06,31.11,25.55,7.42,318.83,DESLIGADA,90.52,7.73
25.42,23.71,5.82,32.38,34.71,18.3,6.94,346.97,LIGADA,40.11,5.23
24.5,26.15,6.63,39.1,16.38,35.21,27.15,292.04,LIGADA,42.02,6.48
46.63,18.12,6.06,62.74,51.94,67.21,12.57,373.76,LIGADA,65.47,8.0
54.18,23.46,6.46,37.22,41.79,57.89,21.73,420.25,LIGADA,77.02,8.0
83.49,29.84,6.99,15.88,28.57,62.01,5.45,130.08,DESLIGADA,85.66,6.96
34.82,24.54,7.28,36.54,46.36,59.92,7.57,40.95,LIGADA,34.23,7.48
86.63,22.48,5.21,77.01,7.21,11.86,7.42,419.61,LIGADA,100.0,7.6
36.7,27.47,5.34,76.34,30.58,25.37,11.07,302.95,LIGADA,49.67,7.93
41.77,29.57,7.79,50.31,54.94,32.52,28.24,99.16,LIGADA,49.29,7.29
27.13,33.45,7.55,52.03,11.66,69.03,23.48,173.6,DESLIGADA,36.16,7.15
65.33,18.25,6.26,44.31,28.84,31.73,26.75,229.87,LIGADA,81.2,7.11
50.48,32.68,7.9,28.91,49.45,42.29,14.5,217.79,DESLIGADA,59.18,6.62
85.42,23.58,6.35,62.53,36.34,50.09,10.09,247.15,DESLIGADA,96.09,8.0
32.73,22.24,7.39,33.82,53.42,52.07,8.29,5.08,LIGADA,31.02,7.93
54.2,33.16,7.07,55.21,32.0,57.58,2.79,110.8,LIGADA,53.95,8.0
41.43,29.63,6.42,47.16,28.4,54.76,9.92,351.43,DESLIGADA,56.05,7.53
70.49,24.31,7.23,76.56,42.96,21.49,22.16,138.25,DESLIGADA,79.19,8.0
88.64,34.65,5.89,35.26,21.62,52.48,3.8,22.76,LIGADA,83.99,6.85
28.84,35.37,6.47,71.09,36.57,38.16,13.21,92.18,LIGADA,30.34,8.0
37.67,35.23,5.34,14.57,32.05,44.62,20.59,75.86,DESLIGADA,40.59,5.76
59.07,26.32,6.79,53.29,47.66,32.82,27.26,148.68,DESLIGADA,69.42,8.0
41.38,30.42,6.83,61.81,57.12,22.47,6.33,330.21,LIGADA,53.71,8.0
30.96,26.17,7.07,42.89,6.8,27.29,8.48,429.8,LIGADA,49.76,6.25
68.12,36.48,7.36,53.75,41.37,66.02,12.75,272.28,LIGADA,78.26,8.0
25.0,21.32,5.92,62.43,36.31,27.32,3.73,344.34,DESLIGADA,39.07,6.85
85.99,28.01,6.48,15.63,7.19,35.92,9.67,125.18,LIGADA,89.55,5.89
80.24,29.74,5.06,63.53,50.18,44.57,22.89,87.6,DESLIGADA,85.54,8.0
84.13,21.63,6.76,54.43,32.04,15.47,10.44,166.65,LIGADA,91.27,8.0
68.56,23.76,7.84,66.95,35.26,37.29,9.44,161.64,DESLIGADA,74.72,8.0
80.54,34.5,5.0,70.86,30.41,13.25,15.55,311.32,DESLIGADA,93.87,7.42
34.25,28.98,7.78,40.67,43.4,17.29,29.19,304.44,LIGADA,52.43,5.56
69.68,24.22,5.04,38.56,17.36,60.48,3.4,473.53,LIGADA,89.53,6.42
55.62,23.47,7.5,78.62,18.41,43.08,11.51,460.93,LIGADA,77.43,8.0
